Vendor,Category,SubCategory,Contract,City,State,Phone,Email,URL,Small_Business
A TEAM PACIFIC ROOFING INC,Facilities,Structures,47QSMS24D00AP,KAPOLEI,HI,808-682-8096,jclark@usacom.org,http://ateampacificroofing.com,s
"ALPHA ROOFING SYSTEMS, LLC",Facilities,Structures,47QSMS24D0008,ATLANTA,GA,4043575000,Shawn@alphacommercialroofs.com,http://alphacommercialroofs.com,s
AMERICAN CLASSIC CONSTRUCTION INC.,Facilities,Structures,GS-07F-0239Y,CHATSWORTH,CA,8187007550,mlubran@socal.rr.com,http://www.americanclassicconstruction.com,s
BROTHERS ROOFING & CONSTRUCTION LLC,Facilities,Structures,47QSMS24D0028,LYNN,MA,617-270-0461,Brothersroofing15@gmail.com,https://www.facebook.com/brothersroofingllc?mibextid=eQY6cl,s
"FLANAGAN CONSTRUCTION, INC.",Facilities,Structures,47QSMS25D009Y,DUBUQUE,IA,(563)590-3167,Bobntina1@msn.com,https:/www.tfc-gnv.com/,s
HARNESS ROOFING INC,Facilities,Structures,47QSWA22D005C,HARRISON,AR,(870)741-0245,dwallin@harnessroofing.com,https://www.harnessroofing.com,
INTERIOR ALASKA ROOFING INC,Facilities,Structures,47QSWA23D0033,FAIRBANKS,AK,907-456-5545,jclark@usacom.org,http://www.interiorakroofing.com,s
"JOINER SHEET METAL & ROOFING, INC.",Facilities,Structures,47QSMS25D000Q,HIGHLAND,IL,618-664-9488,joseph@joinersmr.com,http://www.joinersmr.com,s
PACIFIC TECH CONSTRUCTION INC,Facilities,Structures,GS-07F-0509Y,KELSO,WA,360-414-8084,doug@pactechgroup.com,http://www.pacifictech.info,
ROOFING RESOURCES INC,Facilities,Structures,47QSMS24D002W,KENNETT SQUARE,PA,610-558-4000,jcordrey@teamrri.com,http://www.teamrri.com,s
"TEAMBUILT ROOFING, LLC",Facilities,Structures,47QSMS26D001H,ROCKWALL,TX,2142365213,david@tbtxroofing.com,https://www.tbtxroofing.com/,s
YELLOWFIN ROOFING LLC,Facilities,Structures,47QSMS25D00BH,HOCKESSIN,DE,302-433-6655,Dan@Yellowfinco.com,https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QSMS,s
BLUESCOPE CONSTRUCTION INC,Miscellaneous,Complementary Special Item Numbers (SINs),GS-07F-093GA,KANSAS CITY,MO,540-678-1234,info@fedpromgmt.com,http://www.bluescopeconstruction.com,
BOOM CONCRETE INC,Miscellaneous,Complementary Special Item Numbers (SINs),GS-07F-0389V,NEWELL,SD,605-456-2600,vcboom@sdplains.com,http://www.boomcon.com,s
