Vendor,Category,SubCategory,Contract,City,State,Phone,Email,URL,Small_Business
AMERICAN SANITARY PRODUCTS INC,Industrial Products and Services,Cleaning Supplies,47QSMS24D003R,PHOENIX,AZ,4107292033,mary@americansanitaryproducts.us,http://www.americansanitaryproducts.us,s
APC EQUIPMENT & MANUFACTURING INC,Transportation and Logistics Services,Motor Vehicles (non-Combat),GS-30F-0015U,TUCSON,AZ,520-975-7464,kris@apcequipment.com,http://WWW.APCEQUIPMENT.COM,s
ARIZONA INDUSTRIES FOR THE BLIND,Industrial Products and Services,Hardware and Tools,47QSWA20D002R,PHOENIX,AZ,6232337878,lmann@azifb.com,http://www.azifb.com,
BABCO INTERNATIONAL INC,Industrial Products and Services,Industrial Products,47QSWA18D001H,TUCSON,AZ,(520)628-7596,betsy@babcotucson.com,HTTP://WWW.BABCOTUCSON.COM,s
"BRISTON CONSTRUCTION, LLC",Facilities,Facilities Services,47QSHA20D0011,MESA,AZ,480-776-5810,bcarr@briston.us,http://www.bristonconstruction.com,s
"CATALINA CHINA, INC",Industrial Products and Services,Industrial Products,47QSWA20D003J,TUCSON,AZ,5209031010,suzy@hfcoors.com,http://www.hfcoors.com,s
CONTINENTAL FLOORING CO,Industrial Products and Services,Industrial Products,GS-03F-001BA,SCOTTSDALE,AZ,(800) 825-1221,krensmeyer@continentalflooring.com,https://www.continentalflooring.com,s
"GILL GROUP, INC.",Industrial Products and Services,Industrial Products,GS-07F-049DA,PHOENIX,AZ,623-889-6864,joanna.wigington@trimarkusa.com,https://www.TriMarkusa.com,
K & R HOLDINGS INC,Industrial Products and Services,Fire/Rescue/Safety/Environmental Protection Equipment,47QSMS24D00A9,CHANDLER,AZ,480-236-2682,wayne@luminousegress.com,http://www.luminousegress.com,s
"KOWALSKI CONSTRUCTION, INC.",Professional Services,Environmental Services,47QRAA23D00A5,PHOENIX,AZ,602-944-2645,jrk@kowalski.com,http://www.kowalski.com,s
LEE COLLINS AIR CONDITIONING COMPANY,Industrial Products and Services,Industrial Products,47QSMS24D008X,PHOENIX,AZ,602-663-4201,cyndi@leecollinsac.com,http://www.leecollinsac.com,s
MAINTENANCE SOLUTIONS INC,Industrial Products and Services,Cleaning Supplies,GS-07F-0401U,SCOTTSDALE,AZ,(480) 607-9593,ken@maintsol.com,http://www.maintsol.com,s
MICROBIALOGIC LLC,Industrial Products and Services,Cleaning Supplies,47QSWA19D007L,MESA,AZ,480-962-3714,bill@microbialogic.com,http://www.microbialogic.com,s
ML CLICK MARKETING LLC,Industrial Products and Services,Industrial Products,GS-07F-042BA,PHOENIX,AZ,602-315-4713,aaron@trueuniform.com,http://www.trueuniform.com/,s
OIL SPONGE LLC,Industrial Products and Services,Cleaning Supplies,47QSMS25D008S,CHANDLER,AZ,(480) 503-2847,beau@oilsponge.com,http://www.OilSponge.com,s
R & R LOTION INC,Industrial Products and Services,Industrial Products,47QSMS24D0078,SCOTTSDALE,AZ,4804439255,Courtney@rrlotion.com,http://www.rrlotion.com,s
"RANDON-TECH MANUFACTURING, INC.",Security and Protection,Protective Equipment,47QSMS24D005N,PHOENIX,AZ,480-998-2335,wayne@randontech.com,http://randontech.com/,s
"SITE MANUFACTURING, LLC",Industrial Products and Services,Industrial Products,47QSMS25D007R,PHOENIX,AZ,(310) 409-7143,chad@sitesolar.com,http://www.sitesolar.us/,s
"SOILWORKS, LLC",Industrial Products and Services,Industrial Products,47QSMS24D001Q,SCOTTSDALE,AZ,800-545-5420,chad@soilworks.com,http://www.soilworks.com,s
